Operateur;X;Y;2G;3G;4G;postcode
20801;171198.0;6789936.0;1;1;1;29000
20801;171259.0;6786799.0;1;0;0;29000
20801;171262.0;6851215.0;1;1;0;29440
20810;171272.0;6791435.0;1;0;0;29000
20820;171274.0;6851221.0;1;1;0;29440
20810;171274.0;6851221.0;1;1;0;29440
20815;171275.0;6851222.0;0;1;0;29440
20820;171311.0;6791312.0;1;1;1;29000
20810;171316.0;6791314.0;1;1;1;29000
20801;171337.0;6787513.0;0;0;0;29000
20820;171390.0;6787545.0;1;1;1;29000
20820;171404.0;6864240.0;1;1;1;29430
20801;171412.0;6864242.0;1;1;1;29430
20810;171439.0;6788897.0;1;1;1;29000
20815;171445.0;6864236.0;0;1;1;29430
20820;171456.0;6788885.0;1;1;1;29000
20801;171646.0;6789010.0;1;1;0;29000
20801;171684.0;6791138.0;1;1;0;29000
20815;171694.0;6789013.0;0;1;1;29000
20810;171761.0;6782006.0;1;1;1;29950
20815;171772.0;6781994.0;0;1;1;29950
20820;171796.0;6782037.0;1;1;1;29950
20820;171957.0;6788991.0;1;1;1;29000
20810;171959.0;6788969.0;1;1;1;29000
20801;171978.0;6788935.0;1;0;0;29000
20801;172162.0;6791923.0;1;1;0;29000
20815;172387.0;6792340.0;0;1;1;29000
20801;172604.0;6790013.0;0;1;0;29000
20820;172654.0;6787476.0;1;1;1;29000
20801;172656.0;6787481.0;1;1;0;29000
20810;172658.0;6787483.0;1;1;1;29000
20815;172661.0;6787481.0;0;1;0;29000
20801;172704.0;6821215.0;1;1;0;29590
20820;172709.0;6787789.0;1;0;0;29000
20810;172752.0;6789969.0;1;1;1;29000
20820;172752.0;6789975.0;1;1;1;29000
20815;172752.0;6789975.0;0;1;1;29000
20801;172913.0;6790956.0;1;1;1;29000
20820;172985.0;6818736.0;1;1;1;29590
20810;172994.0;6818732.0;1;1;1;29590
20801;173050.0;6788309.0;1;1;1;29000
20810;173052.0;6788222.0;1;1;1;29000
20820;173060.0;6788213.0;1;1;1;29000
20801;173095.0;6848546.0;0;0;1;29400
20810;173241.0;6794607.0;1;1;1;29000
20820;173241.0;6794609.0;1;1;1;29000
20820;173396.0;6780325.0;1;1;1;29170
20801;173408.0;6789627.0;1;1;1;29000
20810;173411.0;6780319.0;1;1;1;29170
20801;173418.0;6780330.0;1;1;0;29170
20801;173477.0;6815780.0;1;1;0;29590
20810;173572.0;6863604.0;1;1;1;29430
20820;173583.0;6863576.0;1;1;1;29430
20801;173679.0;6812660.0;1;1;1;29150
20820;173795.0;6846192.0;1;1;0;29400
20810;173795.0;6846192.0;0;1;0;29400
20815;173796.0;6846193.0;0;1;0;29400
20801;173797.0;6846196.0;0;1;0;29400
20801;173881.0;6794655.0;1;1;0;29000
20815;173906.0;6794633.0;0;1;1;29000
20801;174101.0;6788281.0;1;1;1;29000
20810;174404.0;6819592.0;0;1;0;29590
20801;174846.0;6788347.0;1;1;1;29000
20801;175029.0;6790732.0;1;1;0;29500
20820;175043.0;6790725.0;1;1;1;29500
20815;175044.0;6790725.0;0;1;1;29500
20810;175048.0;6790725.0;1;1;1;29500
20801;175168.0;6789869.0;1;1;0;29500
20815;175215.0;6818660.0;0;1;1;29590
20801;175322.0;6818383.0;1;1;1;29590
20801;175412.0;6840209.0;1;1;1;29800
20820;175594.0;6813345.0;1;1;1;29150
20810;175594.0;6813345.0;1;1;1;29150
20820;175721.0;6777789.0;1;1;1;29170
20815;175724.0;6777736.0;0;1;1;29170
20810;175759.0;6777765.0;1;1;1;29170
20820;175866.0;6857013.0;1;1;1;29440
20810;175866.0;6857013.0;1;1;1;29440
20815;175896.0;6857044.0;0;1;1;29440
20810;176063.0;6788070.0;1;1;1;29000
20820;176097.0;6788098.0;1;1;1;29000
20815;176281.0;6813698.0;0;1;1;29150
20801;176282.0;6813702.0;1;1;1;29150
20801;176287.0;6777968.0;1;1;1;29170
20820;176344.0;6834515.0;1;1;0;29450
20815;176371.0;6834512.0;0;1;1;29450
20801;176386.0;6793207.0;0;1;0;29500
20810;176528.0;6783389.0;1;1;1;29170
20801;176535.0;6783382.0;1;1;0;29170
20820;176539.0;6783398.0;1;1;1;29170
20820;176659.0;6774723.0;1;1;1;29170
20815;176659.0;6774723.0;0;1;1;29170
20801;176661.0;6774728.0;1;1;1;29170
20810;176673.0;6774689.0;1;1;1;29170
20820;176694.0;6788187.0;1;0;0;29000
20801;176728.0;6799981.0;1;1;0;29510
20801;177015.0;6787721.0;1;1;0;29000
20820;177349.0;6790966.0;1;1;1;29500
20815;177349.0;6790987.0;0;1;1;29500
20810;177352.0;6790969.0;1;1;1;29500
